Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
04-05-2020_08-37-05-728;21326020.0;2.370731;0.7528482;426.1649;15.531519;8.14066;6.799154;14.754031
04-05-2020_08-37-05-848;21326020.0;1.964033;1.809107;425.6236;17.11066;8.90639;7.336962;15.928432
04-05-2020_08-37-05-868;21326020.0;2.017669;1.471267;424.6933;16.6467;9.419409;7.280548;15.639807
04-05-2020_08-37-05-888;21326020.0;2.014753;0.790884;424.4586;17.50435;12.155783;8.422553;15.04959
04-05-2020_08-37-05-908;21326020.0;2.198221;1.651223;425.5346;17.59714;9.589541;6.824272;16.44362
04-05-2020_08-37-05-928;21326020.0;2.194049;2.361282;428.2321;16.83081;8.191665;6.030658;16.60494
04-05-2020_08-37-05-948;21326020.0;2.319026;0.207705;425.9498;15.831697;12.632481;7.855355;15.153852
04-05-2020_08-37-05-968;21326020.0;2.512053;0.3604803;426.5256;15.406656;12.136564;8.622499;15.9344
04-05-2020_08-37-05-988;21326020.0;1.777273;3.2485;426.2029;17.01525;6.637651;5.285025;17.30512
04-05-2020_08-37-06-008;21326020.0;1.799965;2.577096;427.682;17.67065;7.800377;5.729351;17.38074
04-05-2020_08-37-06-028;21326020.0;1.728825;3.520142;425.9433;17.4679;5.655344;4.121318;18.09298
04-05-2020_08-37-06-048;21326020.0;2.914206;-3.305764;418.3739;14.917845;19.20743;13.16639;14.284051
04-05-2020_08-37-06-068;21326020.0;2.50485;0.0946784;423.665;16.70324;16.5186;8.657384;14.948522
04-05-2020_08-37-06-088;21326020.0;4.008424;-11.023904;412.6872;15.347514;37.93025;24.32061;11.829505
04-05-2020_08-37-06-108;21326020.0;1.146972;3.930188;427.6293;16.94314;6.780176;4.171124;17.81445
04-05-2020_08-37-06-128;21326020.0;3.579193;-9.386663;420.0185;14.39502;28.18106;18.10144;12.238952
04-05-2020_08-37-06-148;21326020.0;2.455702;-1.775161;428.8195;16.03543;16.77693;10.830621;14.540539
04-05-2020_08-37-06-168;21326020.0;-0.02042848;13.84388;431.4044;18.01789;-16.5176;-9.259779;21.74144
04-05-2020_08-37-06-188;21326020.0;1.843141;5.019439;427.2506;18.33996;7.465523;3.332572;18.06033
