Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
04-05-2020_14-37-05-768;-21.7091;5.245605;10.311154;437.4945;342.5016;280.0803;245.8589;181.4548
04-05-2020_14-37-05-868;-21.7091;6.141339;9.400596;437.4945;342.6573;289.2981;249.7769;180.4088
04-05-2020_14-37-05-888;-21.7091;7.092553;9.127771;437.4945;342.6665;291.6541;250.3675;179.7717
04-05-2020_14-37-05-908;-21.7091;6.480099;11.899068;437.4945;341.2185;279.7362;245.2147;181.9386
04-05-2020_14-37-05-928;-21.7091;6.443265;12.813057;437.4945;342.413;278.4153;243.5146;182.2932
04-05-2020_14-37-05-948;-21.7091;5.804199;12.78013;437.4945;343.126;276.6408;243.444;181.3977
04-05-2020_14-37-05-968;-21.7091;6.171386;13.375911;437.4945;344.3861;275.9021;243.4733;183.1706
04-05-2020_14-37-05-988;-21.7091;6.628166;13.002721;437.4945;343.9224;276.4805;244.6218;183.0611
04-05-2020_14-37-06-008;-21.7091;5.989403;13.396672;437.4945;343.5283;275.4526;243.5577;182.26
04-05-2020_14-37-06-028;-21.7091;5.955442;12.818966;437.4945;343.7466;276.4461;245.4228;181.6231
04-05-2020_14-37-06-048;-21.7091;5.671266;13.43489;437.4945;345.1446;277.4452;245.1732;183.6791
04-05-2020_14-37-06-068;-21.7091;5.991503;12.086674;437.4945;344.3767;278.0242;244.9003;182.1184
04-05-2020_14-37-06-088;-21.7091;5.697325;12.600235;437.4945;344.5869;277.2457;245.6992;184.2345
04-05-2020_14-37-06-108;-21.7091;5.336123;12.421262;437.4945;343.3127;275.3216;245.5531;180.4422
04-05-2020_14-37-06-128;-21.7091;5.07481;11.234267;437.4945;346.2247;279.1149;248.1419;183.4074
04-05-2020_14-37-06-148;-21.7091;5.144182;10.713412;437.4945;344.2265;277.5181;245.6203;182.1253
04-05-2020_14-37-06-168;-21.7091;5.309657;11.078336;437.4945;344.1846;277.6423;245.7512;182.603
04-05-2020_14-37-06-188;-21.7091;5.486974;11.353168;437.4945;344.659;279.6115;247.0957;181.3631
04-05-2020_14-37-06-208;-21.7091;4.663956;11.871061;437.4945;345.5496;277.291;246.7809;183.1095
04-05-2020_14-37-06-228;-21.7091;5.059833;13.240498;437.4945;345.22;278.8636;247.5016;182.4774
04-05-2020_14-37-06-248;-21.7091;5.895437;13.18931;437.4945;343.4765;278.2935;248.7003;183.5277
04-05-2020_14-37-06-268;-21.7091;6.513315;13.346244;437.4945;344.0012;277.7265;248.3232;182.2518
04-05-2020_14-37-06-288;-21.7091;6.741567;14.210034;437.4945;345.9792;278.1284;248.2454;183.2543
04-05-2020_14-37-06-308;-21.7091;5.926431;13.895489;437.4945;345.761;279.2373;248.9155;182.9497
04-05-2020_14-37-06-328;-21.7091;5.705288;13.034017;437.4945;344.9488;279.4753;247.3726;181.9113
04-05-2020_14-37-06-348;-21.7091;6.311332;14.027696;437.4945;346.5051;279.6729;248.2644;181.8181
04-05-2020_14-37-06-368;-21.7091;6.669817;13.544637;437.4945;345.8779;280.6232;248.7014;183.2279
04-05-2020_14-37-06-388;-21.7091;6.258326;14.795874;437.4945;345.5331;279.5885;248.1467;182.8695
04-05-2020_14-37-06-408;-21.7091;6.046859;14.106536;437.4945;345.4226;277.0627;245.8662;181.8562
04-05-2020_14-37-06-428;-21.7091;6.053967;13.759696;437.4945;343.9745;278.8206;249.0591;182.2279
04-05-2020_14-37-06-448;-21.7091;6.31535;14.120913;437.4945;343.674;277.4741;246.5735;181.6034
04-05-2020_14-37-06-468;-21.7091;6.401426;13.312762;437.4945;344.431;280.6926;249.2577;183.7659
04-05-2020_14-37-06-488;-21.7091;5.878719;12.832542;437.4945;345.2421;278.7401;249.0829;182.967
04-05-2020_14-37-06-508;-21.7091;5.01096;13.138731;437.4945;344.5199;279.0398;248.6769;183.059
04-05-2020_14-37-06-528;-21.7091;5.561136;12.654872;437.4945;342.8365;277.9404;246.1844;181.083
04-05-2020_14-37-06-548;-21.7091;5.760467;12.307432;437.4945;344.8501;278.7927;246.5943;182.1535
04-05-2020_14-37-06-568;-21.7091;5.722399;12.480128;437.4945;345.3442;280.0273;247.9391;182.9426
04-05-2020_14-37-06-588;-21.7091;5.07084;12.259859;437.4945;344.0463;280.4791;246.9744;182.3054
04-05-2020_14-37-06-608;-21.7091;5.427707;12.125439;437.4945;346.1661;281.2303;248.4821;182.1366
04-05-2020_14-37-06-628;-21.7091;6.080541;12.911193;437.4945;344.0372;278.3407;246.6458;182.1865
04-05-2020_14-37-06-648;-21.7091;6.245983;12.698512;437.4945;345.0878;279.3844;246.1856;182.6231
04-05-2020_14-37-06-668;-21.7091;5.900275;12.668541;437.4945;345.8373;280.6582;247.091;183.5411
04-05-2020_14-37-06-688;-21.7091;4.972495;12.475204;437.4945;344.7635;279.0096;246.8442;182.2132
04-05-2020_14-37-06-708;-21.7091;5.028482;12.43377;437.4945;343.6797;278.4766;246.9129;181.8794
04-05-2020_14-37-06-728;-21.7091;5.794468;12.415711;437.4945;345.102;279.4384;246.7276;182.8825
04-05-2020_14-37-06-747;-21.7091;5.77128;12.810671;437.4945;344.5618;279.1928;246.8388;182.166
04-05-2020_14-37-06-768;-21.7091;5.787154;13.019443;437.4945;345.9098;279.9963;246.7467;182.5751
04-05-2020_14-37-06-788;-21.7091;5.107117;13.04353;437.4945;345.7922;278.7625;245.5802;182.6755
04-05-2020_14-37-06-807;-21.7091;5.889396;12.883088;437.4945;345.4634;278.577;246.9967;181.6334
04-05-2020_14-37-06-828;-21.7091;5.807269;13.393117;437.4945;344.5673;278.3715;245.9435;182.4773
04-05-2020_14-37-06-848;-21.7091;5.461645;11.957661;437.4945;346.2153;280.25;247.4;182.3649
04-05-2020_14-37-06-868;-21.7091;4.839251;12.485964;437.4945;345.1662;277.46;246.9647;183.0677
04-05-2020_14-37-06-888;-21.7091;4.295237;11.418364;437.4945;345.634;280.1285;247.7406;182.4351
04-05-2020_14-37-06-908;-21.7091;4.653829;12.226707;437.4945;344.7195;278.1458;248.9069;182.2456
04-05-2020_14-37-06-928;-21.7091;5.111575;11.897077;437.4945;343.3283;277.4231;247.597;182.3771
04-05-2020_14-37-06-948;-21.7091;5.141297;12.519608;437.4945;344.3446;277.6398;246.9893;182.1368
04-05-2020_14-37-06-967;-21.7091;5.23673;12.386878;437.4945;345.0345;278.8862;248.6087;180.5067
04-05-2020_14-37-06-987;-21.7091;5.505193;12.951517;437.4945;343.0975;275.8446;244.7028;180.4426
04-05-2020_14-37-07-007;-21.7091;5.886035;13.841053;437.4945;342.9301;278.323;247.1475;181.8375
04-05-2020_14-37-07-027;-21.7091;6.427203;12.284075;437.4945;343.9032;278.7258;245.8338;180.4954
04-05-2020_14-37-07-048;-21.7091;5.970511;12.898216;437.4945;345.0947;278.5013;248.349;182.5453
04-05-2020_14-37-07-067;-21.7091;5.783273;12.435645;437.4945;346.0951;280.649;250.4979;183.6999
04-05-2020_14-37-07-087;-21.7091;6.571316;14.140528;437.4945;346.4281;279.2783;250.6547;184.1512
04-05-2020_14-37-07-108;-21.7091;7.123047;14.207186;437.4945;344.8533;280.33;249.3865;183.0584
04-05-2020_14-37-07-128;-21.7091;7.350079;15.320927;437.4945;345.0464;279.7621;249.1784;182.9466
04-05-2020_14-37-07-147;-21.7091;6.939901;15.053785;437.4945;344.0987;278.1871;249.1482;181.4838
04-05-2020_14-37-07-168;-21.7091;6.667261;14.941254;437.4945;345.4561;279.377;248.1594;182.4921
04-05-2020_14-37-07-188;-21.7091;6.891221;15.171906;437.4945;347.6837;280.9075;251.9786;184.263
04-05-2020_14-37-07-207;-21.7091;7.200675;14.724546;437.4945;348.4515;281.7827;251.1056;184.9981
04-05-2020_14-37-07-227;-21.7091;6.873173;14.440022;437.4945;345.5301;281.7953;249.3974;182.1174
04-05-2020_14-37-07-247;-21.7091;6.282226;14.380791;437.4945;347.5809;282.4953;250.4083;184.1831
04-05-2020_14-37-07-267;-21.7091;5.704099;13.847963;437.4945;345.307;280.2562;248.6767;182.9962
04-05-2020_14-37-07-287;-21.7091;6.11833;14.694525;437.4945;348.0356;281.4177;250.3756;183.1713
04-05-2020_14-37-07-307;-21.7091;5.998183;15.009612;437.4945;347.316;281.4834;249.9682;183.4613
04-05-2020_14-37-07-327;-21.7091;5.714838;14.415333;437.4945;345.923;280.5429;249.2385;183.7456
04-05-2020_14-37-07-347;-21.7091;5.245608;14.533722;437.4945;347.2664;281.0054;250.0872;184.9015
04-05-2020_14-37-07-367;-21.7091;5.729528;13.417241;437.4945;345.4283;281.5682;250.1511;181.8202
04-05-2020_14-37-07-387;-21.7091;6.302373;13.376972;437.4945;345.2673;280.9617;248.447;182.8162
04-05-2020_14-37-07-407;-21.7091;6.137457;13.380634;437.4945;346.194;281.7434;250.3609;184.3151
04-05-2020_14-37-07-427;-21.7091;5.346075;13.254862;437.4945;346.2956;280.2928;246.9481;182.48
04-05-2020_14-37-07-447;-21.7091;5.459734;12.406547;437.4945;346.7803;282.9547;250.8633;183.6625
04-05-2020_14-37-07-467;-21.7091;5.840948;13.515217;437.4945;346.938;281.4992;251.6573;183.9096
