Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
02-05-2020_08-37-05-488;-10.512734;14.907815;4.879154;436.3506;206.2665;169.7769;152.9912;111.96814
02-05-2020_08-37-05-588;-11.035209;15.204331;6.488973;436.1027;203.8936;165.6211;150.4644;113.40067
02-05-2020_08-37-05-608;-11.09381;15.759178;6.126851;438.343;202.5731;166.409;150.3441;112.35799
02-05-2020_08-37-05-627;-11.21546;15.777419;7.226985;435.2259;205.3141;165.5782;150.7262;112.77364
02-05-2020_08-37-05-647;-11.188607;15.212254;7.463605;438.5797;205.6123;165.258;150.5833;113.28487
02-05-2020_08-37-05-667;-11.150213;15.607352;7.62252;437.243;205.0862;165.5232;150.002;111.36571
02-05-2020_08-37-05-688;-10.015165;15.680649;5.096451;436.5231;206.9858;172.4749;153.9236;112.2999
02-05-2020_08-37-05-707;-10.046415;15.423499;4.708062;433.8875;205.898;173.2027;153.6281;112.36362
02-05-2020_08-37-05-727;-11.320954;14.816039;6.121312;434.8026;205.5719;166.6726;151.6001;113.42828
02-05-2020_08-37-05-747;-10.971633;14.510284;6.490329;434.6752;204.8888;166.1627;149.768;110.51762
02-05-2020_08-37-05-767;-10.836084;13.792207;6.125742;434.6022;206.5698;166.1161;150.8117;111.55208
02-05-2020_08-37-05-787;-11.045022;14.138541;5.535048;435.5575;205.8223;168.2852;150.3412;112.04224
02-05-2020_08-37-05-807;-11.009024;14.10508;5.471189;433.2049;206.5549;169.7957;152.6125;113.21069
02-05-2020_08-37-05-827;-10.665379;13.972084;5.886684;436.2728;207.0271;167.06;148.9531;111.51428
02-05-2020_08-37-05-847;-11.114438;14.10192;6.451992;435.4601;207.0037;165.5445;150.7873;110.87341
02-05-2020_08-37-05-867;-10.858598;14.303788;6.672891;435.4041;206.0355;166.3944;152.3923;112.64103
02-05-2020_08-37-05-887;-10.771377;14.233061;6.574215;433.0054;205.507;166.8173;150.8339;113.29522
