Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
02-05-2020_20-37-05-546;-11.306615;25.04542;9.082863;423.5336;264.4289;194.5092;185.1395;123.08415
02-05-2020_20-37-05-646;-11.313144;24.51659;9.254145;421.2568;265.5447;193.8362;186.996;123.7028
02-05-2020_20-37-05-666;-11.761144;23.95555;10.023852;421.8384;265.5871;189.4046;183.31;123.78452
02-05-2020_20-37-05-686;-11.31745;22.88688;7.530243;422.9596;265.0715;191.3987;183.7913;123.38397
02-05-2020_20-37-05-706;-11.492421;22.3114;7.849744;422.2646;265.0845;190.5954;184.2046;124.55719
02-05-2020_20-37-05-726;-11.138031;23.09522;6.365921;422.3736;263.7429;194.4056;185.4877;123.35682
02-05-2020_20-37-05-746;-11.758142;22.52405;7.421623;421.0635;264.1272;191.1498;184.0628;122.65872
02-05-2020_20-37-05-766;-11.671065;21.99949;7.886637;421.9158;265.0956;190.8765;183.8118;124.40305
02-05-2020_20-37-05-786;-11.072263;21.5776;5.860611;422.4309;265.7642;193.0187;185.1855;123.03602
02-05-2020_20-37-05-806;-11.660526;21.45129;5.575675;418.9115;265.6329;193.8875;186.2602;123.63576
02-05-2020_20-37-05-826;-10.987041;22.74096;4.599726;422.7128;264.3235;197.3344;187.9676;122.75111
02-05-2020_20-37-05-846;-11.449534;22.55355;7.070336;424.8547;264.7983;191.9894;184.29;121.67545
02-05-2020_20-37-05-866;-11.07158;23.10216;6.396067;423.7079;265.3864;195.4526;186.3878;122.84664
02-05-2020_20-37-05-886;-11.242261;22.72895;6.417432;424.2213;264.4256;194.6006;186.1966;123.05482
02-05-2020_20-37-05-906;-11.258354;23.38379;6.700248;425.8102;264.887;194.7251;187.6748;123.04897
02-05-2020_20-37-05-926;-11.269251;24.30741;7.62716;423.8744;265.6122;194.2012;185.7043;123.38206
02-05-2020_20-37-05-946;-11.13867;24.64273;7.496507;424.6459;262.8384;196.1117;186.7099;122.65466
02-05-2020_20-37-05-966;-10.92041;24.41279;7.314035;423.3661;263.7709;196.5514;186.2811;122.6924
02-05-2020_20-37-05-986;-11.215972;23.755;7.654782;420.9478;264.6631;195.8469;185.8864;123.70232
02-05-2020_20-37-06-006;-10.91673;24.64139;6.617058;417.8242;264.2112;197.5349;187.1089;122.55918
02-05-2020_20-37-06-026;-10.547653;24.77135;6.562554;417.6552;265.9973;198.9917;188.4219;123.32444
02-05-2020_20-37-06-046;-10.586634;24.20077;5.522368;418.9355;265.2111;202.2662;190.0663;121.75466
02-05-2020_20-37-06-066;-11.035502;23.23338;6.629575;418.3059;263.7621;194.9751;185.9698;122.39437
02-05-2020_20-37-06-086;-11.052793;23.06148;6.119081;418.2656;264.4025;196.626;187.0265;123.43707
02-05-2020_20-37-06-106;-11.593629;23.26121;7.617339;418.8411;265.7826;195.1275;186.3789;125.81472
02-05-2020_20-37-06-126;-11.049577;22.97624;6.839559;421.8433;265.5903;195.6778;185.7141;123.90356
02-05-2020_20-37-06-146;-11.427413;22.4429;6.999095;416.4876;265.9786;194.2877;186.2667;124.1327
02-05-2020_20-37-06-166;-11.488448;22.08712;6.853619;417.8712;264.2014;193.1334;183.7071;124.05553
02-05-2020_20-37-06-186;-10.92661;22.77567;5.432648;418.0579;264.6119;197.6528;186.4755;122.92587
02-05-2020_20-37-06-206;-10.402716;23.41089;4.727516;415.1801;266.3628;201.9519;188.9179;123.07648
02-05-2020_20-37-06-226;-9.482143;23.91432;1.91352;410.9901;267.047;210.0601;194.9719;123.50883
02-05-2020_20-37-06-246;-8.814905;23.74723;0.4042111;412.165;267.0342;211.1528;194.0751;122.01223
02-05-2020_20-37-06-266;-9.631793;24.24494;1.723709;414.8379;266.8298;207.5975;192.8786;121.74184
02-05-2020_20-37-06-286;-12.104832;23.88022;8.681367;425.1717;266.2288;188.3708;183.4424;125.26946
