Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
03-05-2020_14-37-05-646;-6.909313;3.888878;-3.153335;433.1125;200.3015;160.7205;121.66718;96.35442
03-05-2020_14-37-05-746;-8.8973;2.801234;1.825531;435.7501;199.0149;145.0435;114.59888;100.00789
03-05-2020_14-37-05-766;-8.922822;3.330024;1.936882;433.523;199.2225;144.5147;114.66375;100.03251
03-05-2020_14-37-05-786;-9.138738;2.657169;3.116865;436.8453;199.5758;140.2619;111.52678;100.95743
03-05-2020_14-37-05-806;-8.783933;3.131307;1.005568;434.7683;198.9571;146.061;115.55075;99.64577
03-05-2020_14-37-05-826;-8.927441;2.234284;1.724941;433.1574;198.6856;142.6537;112.54669;99.2301
03-05-2020_14-37-05-846;-9.254666;1.900826;2.438354;434.8749;200.9712;142.7342;113.00883;101.99682
03-05-2020_14-37-05-866;-9.019986;2.976299;1.390305;435.6264;200.3594;144.6704;114.34686;100.03401
03-05-2020_14-37-05-886;-9.336727;2.829329;3.088299;437.6886;200.1677;143.023;113.00834;101.54375
03-05-2020_14-37-05-906;-9.173615;2.693158;3.638397;436.8963;199.506;142.1014;112.50893;100.95091
03-05-2020_14-37-05-926;-9.008844;2.434851;2.570836;436.4138;198.9805;143.5313;113.0979;99.33629
03-05-2020_14-37-05-946;-8.991753;2.371381;1.767192;435.8249;197.459;143.981;114.35928;98.96798
03-05-2020_14-37-05-966;-8.932987;3.104606;1.665562;436.4356;199.0163;144.8059;113.19894;99.13249
03-05-2020_14-37-05-986;-8.89514;2.487278;2.25323;436.3566;199.4896;142.3975;112.24718;100.2909
03-05-2020_14-37-06-006;-8.560157;2.9304;1.508437;436.2779;199.1433;144.8079;114.60375;100.05856
03-05-2020_14-37-06-026;-8.622428;2.133294;1.383956;435.5116;199.0399;144.3541;114.58219;100.55343
03-05-2020_14-37-06-046;-9.351622;2.371098;1.693085;435.3899;198.8416;145.1545;113.01987;99.81287
03-05-2020_14-37-06-066;-8.68141;3.10705;0.5448513;434.7166;199.8422;147.8096;115.23863;99.69485
03-05-2020_14-37-06-086;-9.070102;2.001619;3.596306;436.1629;200.7571;140.9432;112.90202;101.85585
03-05-2020_14-37-06-106;-8.969057;2.579632;2.743804;436.8973;198.1328;142.846;111.90105;99.7318
03-05-2020_14-37-06-126;-8.932353;2.726668;2.075993;436.0568;198.9595;146.0113;115.12521;100.90401
03-05-2020_14-37-06-146;-8.746979;2.904234;1.657959;436.9102;198.3042;145.3396;114.26624;100.316
03-05-2020_14-37-06-166;-9.17648;2.696629;1.589834;437.7139;198.5413;145.5199;112.25555;98.45506
03-05-2020_14-37-06-186;-9.021516;2.787116;1.804058;437.2934;199.2396;145.6158;114.07631;100.53014
03-05-2020_14-37-06-206;-9.089222;3.141436;2.118935;437.4759;199.0261;143.9745;114.56496;100.81139
03-05-2020_14-37-06-226;-8.362024;3.398852;1.37404;436.4687;198.5829;147.4985;114.38879;101.05102
03-05-2020_14-37-06-246;-7.582799;4.055928;-1.895752;434.4511;196.7516;154.5419;118.41148;97.77414
03-05-2020_14-37-06-266;-8.810638;3.197754;0.1579886;436.8876;199.2713;148.8614;114.98162;99.69981
03-05-2020_14-37-06-290;-7.406947;3.411135;-0.6532302;434.1862;196.1939;153.4452;118.20262;98.80085
03-05-2020_14-37-06-310;-10.819281;1.50943;8.493278;439.7873;197.3664;126.02277;103.80917;102.36431
03-05-2020_14-37-06-330;-5.575085;4.921163;-7.960905;430.5377;198.8106;171.344;125.66468;93.77509
03-05-2020_14-37-06-350;-8.571287;3.285191;0.3609305;434.1735;197.099;146.4739;112.92199;98.74183
03-05-2020_14-37-06-370;-10.593591;1.875056;7.207042;440.0003;197.0616;130.4006;105.89211;101.12156
03-05-2020_14-37-06-389;-7.519212;3.780777;-3.51197;434.0749;199.3907;159.4565;121.23398;97.15093
03-05-2020_14-37-06-409;-11.616;1.347297;8.775814;440.6209;192.9289;122.37561;99.5087;99.56236
03-05-2020_14-37-06-429;-11.939653;1.212993;10.639762;441.5644;198.2783;119.4921;100.83654;103.07499
03-05-2020_14-37-06-449;-8.230088;3.593765;-0.4744802;436.9956;197.946;149.7761;115.38607;98.10524
03-05-2020_14-37-06-469;-8.279759;3.331157;-0.7797776;436.026;198.3476;150.6212;115.56683;98.47047
03-05-2020_14-37-06-489;-8.89546;2.711059;2.282818;435.9789;197.5389;141.3883;112.27811;99.20141
03-05-2020_14-37-06-509;-10.646478;1.886223;7.673425;439.5719;196.1319;129.0631;105.65589;102.45968
03-05-2020_14-37-06-529;-8.375653;3.402295;0.980875;437.2077;195.9744;146.9597;113.93159;98.25965
03-05-2020_14-37-06-549;-6.293574;5.011834;-6.576574;429.9056;199.2526;166.8851;123.51377;96.34994
03-05-2020_14-37-06-569;-11.796248;1.191084;9.421489;439.8633;199.2068;122.3973;102.41965;102.48086
03-05-2020_14-37-06-589;-10.439782;2.264117;6.369776;437.3341;194.4423;129.2434;106.57286;100.32739
03-05-2020_14-37-06-610;-11.291739;1.782604;9.130144;441.2869;197.5045;126.73067;102.91174;102.24409
03-05-2020_14-37-06-629;-10.542805;2.446442;6.616984;437.6125;198.9134;131.9945;106.58098;101.9455
03-05-2020_14-37-06-649;-9.062669;3.051806;2.955028;434.934;196.7117;141.9461;111.64531;99.58247
03-05-2020_14-37-06-669;-5.022781;4.515635;-9.022705;427.3226;197.8269;173.4866;127.64669;95.22243
03-05-2020_14-37-06-689;-11.008009;2.212973;5.626261;436.6503;198.5782;130.1523;107.60998;100.57998
03-05-2020_14-37-06-709;-9.469035;2.719007;2.415638;436.128;198.5251;140.8836;112.54733;100.42525
03-05-2020_14-37-06-729;-9.688305;2.561932;4.452319;437.9611;197.8529;135.1176;109.56168;100.77036
03-05-2020_14-37-06-749;-9.102922;2.27884;1.444066;435.0603;197.1535;142.4691;111.3383;100.17535
03-05-2020_14-37-06-769;-10.303347;1.100128;5.881577;437.1193;197.0174;131.8999;108.56474;101.86002
03-05-2020_14-37-06-789;-7.605547;2.89398;-1.904301;436.1827;199.4704;155.669;118.43133;98.26331
03-05-2020_14-37-06-809;-7.457388;2.858556;-2.738774;435.7688;199.8826;156.2648;119.67229;98.9398
03-05-2020_14-37-06-829;-8.608434;2.735534;0.3688975;436.8496;199.5379;147.3668;114.69078;99.8444
03-05-2020_14-37-06-849;-8.57524;2.453957;0.5412078;433.8916;197.8792;145.2102;112.96655;99.1441
03-05-2020_14-37-06-869;-8.789775;1.852761;1.511292;433.3735;198.6369;142.6894;113.46208;100.1401
03-05-2020_14-37-06-889;-8.643233;2.592115;1.070427;435.0527;200.1047;146.1361;116.42131;100.36085
03-05-2020_14-37-06-909;-9.410817;2.758678;3.586846;438.6367;199.4734;139.421;111.68964;101.42616
03-05-2020_14-37-06-929;-8.913733;2.899428;1.635775;434.0939;198.3391;143.0975;113.61017;100.07334
03-05-2020_14-37-06-949;-8.903872;2.450419;2.640965;436.8009;198.7746;142.3373;112.97704;101.4094
03-05-2020_14-37-06-969;-9.804512;2.255149;3.984391;438.742;198.5504;138.3166;110.32676;100.40725
03-05-2020_14-37-06-989;-9.043264;2.895581;2.310782;434.7209;198.7819;142.4278;111.6719;99.94776
03-05-2020_14-37-07-009;-9.068551;3.025714;2.298205;436.038;199.5583;144.3327;112.58746;100.03317
03-05-2020_14-37-07-029;-8.749269;3.338638;1.85558;436.429;197.999;143.0568;113.67367;100.03352
03-05-2020_14-37-07-049;-9.075122;2.700163;1.626537;435.7943;199.951;146.3172;112.80924;100.29373
03-05-2020_14-37-07-069;-8.845288;2.593066;2.047597;435.4483;199.5222;145.236;114.31734;101.03694
03-05-2020_14-37-07-089;-8.959222;2.684861;2.313315;434.2512;199.4805;143.1671;112.77237;100.68169
03-05-2020_14-37-07-109;-8.960618;2.645243;2.188674;434.2704;196.1921;143.9391;111.56595;99.48575
03-05-2020_14-37-07-129;-8.780607;3.029708;1.974472;435.223;198.2568;144.6868;113.14329;99.53596
03-05-2020_14-37-07-149;-8.838335;2.977514;1.496944;435.0713;197.2499;145.1056;112.52154;100.14581
03-05-2020_14-37-07-169;-8.539028;3.111441;1.278289;435.3595;196.9005;145.2117;113.661;98.58572
03-05-2020_14-37-07-189;-8.965004;2.713283;1.708585;436.3534;198.2714;142.9206;113.66515;100.74074
03-05-2020_14-37-07-209;-9.625111;2.233718;3.609588;437.416;198.1915;138.4651;109.68699;101.0045
03-05-2020_14-37-07-229;-9.213068;2.25286;3.126314;436.5196;197.6081;139.2683;109.89485;99.00101
03-05-2020_14-37-07-249;-9.005069;2.740394;2.05319;435.9786;198.6316;143.0821;113.14687;100.32091
03-05-2020_14-37-07-269;-9.267155;3.1121;2.292288;437.0509;197.0304;141.4266;113.01543;100.52819
03-05-2020_14-37-07-289;-8.651444;2.909725;2.32164;437.1222;197.2272;142.3155;113.10815;98.30995
03-05-2020_14-37-07-309;-8.193362;3.33207;0.08037663;434.8591;197.7892;148.1797;115.6367;99.12353
03-05-2020_14-37-07-329;-8.615932;2.890525;0.01951313;434.1024;197.2339;147.9239;115.68836;98.84596
03-05-2020_14-37-07-349;-9.679646;2.649569;4.509391;438.9037;196.9519;138.3592;109.57479;99.72653
03-05-2020_14-37-07-369;-8.232489;3.92692;0.6645451;437.6151;196.663;148.5871;115.42894;98.45359
03-05-2020_14-37-07-389;-9.068587;3.184607;2.006453;437.0874;198.9713;142.0544;111.64175;99.33091
03-05-2020_14-37-07-409;-11.110922;1.903522;7.574958;439.3219;198.6319;125.52532;105.75548;103.5201
03-05-2020_14-37-07-429;-10.690434;1.184102;7.634609;436.8908;198.9395;125.64516;107.01947;104.70522
03-05-2020_14-37-07-449;-8.876969;2.808106;2.287114;437.8646;198.6289;141.4789;110.89957;99.14776
03-05-2020_14-37-07-469;-8.982639;3.13657;1.895039;438.0424;197.9254;142.4362;114.11414;98.9666
03-05-2020_14-37-07-489;-9.309276;2.296308;2.06687;436.8704;196.8141;142.2345;112.98596;99.23994
03-05-2020_14-37-07-509;-9.237041;2.329854;2.464653;436.758;197.2449;140.4317;111.21523;100.25834
03-05-2020_14-37-07-529;-8.925034;2.295003;1.651176;436.406;199.7836;141.9628;111.44088;99.34117
03-05-2020_14-37-07-549;-9.031756;2.39947;2.010371;438.5304;197.8283;140.887;111.91472;99.23095
03-05-2020_14-37-07-569;-8.938425;2.207262;1.640132;437.2186;197.4499;141.8361;112.46526;99.09204
03-05-2020_14-37-07-589;-9.152912;2.059508;1.636803;437.5492;197.8554;141.9253;112.14025;100.2922
03-05-2020_14-37-07-609;-9.05252;1.949848;1.972258;437.1421;198.713;143.3812;111.46289;100.14191
03-05-2020_14-37-07-629;-9.068785;2.268554;0.5735102;437.9246;198.9269;144.5233;112.70245;100.92542
03-05-2020_14-37-07-649;-9.187014;2.702701;2.711978;438.2055;199.2633;143.436;111.82649;100.51154
03-05-2020_14-37-07-669;-9.166232;2.514382;2.544878;437.554;197.4462;142.2948;111.86864;100.11897
03-05-2020_14-37-07-689;-8.711854;2.891841;1.252397;439.489;195.8692;142.9122;112.31021;98.23839
03-05-2020_14-37-07-709;-9.20098;2.880659;3.277137;441.2462;197.4289;141.9417;110.82728;99.03982
03-05-2020_14-37-07-729;-9.529182;2.62581;3.641092;440.8703;197.2879;138.4812;109.54804;100.3476
03-05-2020_14-37-07-749;-8.984489;3.451258;0.6782828;440.8337;197.7522;143.236;111.74799;99.41959
03-05-2020_14-37-07-769;-7.530485;3.816078;-2.423375;428.2;197.6364;156.4404;119.30824;98.02778
03-05-2020_14-37-07-789;-6.507758;4.179766;-5.261152;430.4622;196.9347;156.7279;120.49409;97.76742
03-05-2020_14-37-07-809;-13.443903;0.5127741;13.844362;446.2125;201.1487;111.26254;94.21228;106.54745
03-05-2020_14-37-07-829;-10.100142;2.044056;6.753536;445.6023;197.8954;131.4339;107.14833;102.63866
03-05-2020_14-37-07-849;-6.913979;3.652005;-3.16055;435.5702;196.4554;156.4625;119.161;96.09635
03-05-2020_14-37-07-869;-8.433296;2.447657;0.8753262;438.9428;199.5065;146.0917;112.46098;97.98256
03-05-2020_14-37-07-889;-10.084336;2.037146;5.4593;440.8848;198.371;139.1889;109.67194;100.77665
03-05-2020_14-37-07-909;-1.920136;6.790121;-19.33202;419.4524;194.1902;193.2869;140.6535;90.15335
03-05-2020_14-37-07-929;-13.397658;-0.2950148;15.659328;446.6676;201.3455;114.20831;95.72166;107.49863
03-05-2020_14-37-07-949;-6.690112;4.152213;-5.200306;427.4895;196.9382;161.302;122.85793;97.04923
03-05-2020_14-37-07-969;-6.891712;3.47586;-3.693624;435.3958;196.8084;155.5359;119.57879;98.01292
03-05-2020_14-37-07-989;-9.658472;2.354663;2.398201;439.0412;197.9412;140.5449;110.1862;101.53572
03-05-2020_14-37-08-009;-8.792828;3.082225;0.8053389;441.5622;195.2067;144.1782;111.70884;98.80482
03-05-2020_14-37-08-029;-9.011644;2.369815;3.529544;433.0577;198.3041;141.369;110.03203;100.03149
03-05-2020_14-37-08-049;-8.790656;2.954016;2.294492;441.7487;198.8456;143.7293;113.06382;100.18089
03-05-2020_14-37-08-069;-8.901428;3.236486;1.825743;439.9904;198.2567;144.0185;111.70222;100.38726
03-05-2020_14-37-08-089;-8.925342;3.416364;2.188293;437.0235;197.1341;142.5165;112.14703;99.95196
03-05-2020_14-37-08-109;-8.935076;3.386006;2.89116;442.6448;200.0517;143.0235;113.07987;101.33798
03-05-2020_14-37-08-129;-9.321206;3.195006;3.013545;437.2908;199.5166;141.0828;111.23632;100.47539
03-05-2020_14-37-08-149;-8.820843;2.5331;2.590141;436.1978;198.4516;143.4751;114.02039;100.98652
03-05-2020_14-37-08-169;-8.750702;3.099404;1.985709;440.4081;196.4668;143.2154;111.49379;98.39402
03-05-2020_14-37-08-189;-8.66463;3.509593;1.761816;437.8238;196.9658;143.3069;113.80842;100.74899
03-05-2020_14-37-08-209;-8.862492;2.990993;2.839432;438.2511;198.3612;142.0083;112.72008;101.18106
03-05-2020_14-37-08-229;-9.043824;3.00694;2.487003;437.8155;196.3553;140.7732;110.21697;97.97591
03-05-2020_14-37-08-249;-9.083356;2.418462;1.883632;437.6999;197.451;141.8374;112.53806;99.64259
03-05-2020_14-37-08-269;-9.127841;2.063226;1.771906;439.7548;198.5542;142.2766;112.23933;99.05116
03-05-2020_14-37-08-289;-8.993684;2.724559;2.364627;437.9194;197.1933;142.7514;110.90594;99.91856
03-05-2020_14-37-08-309;-9.420369;2.522464;2.057115;437.2431;198.305;142.5044;112.5798;101.16752
03-05-2020_14-37-08-329;-9.041364;1.714336;2.565714;439.0162;199.106;139.411;109.69573;99.21729
03-05-2020_14-37-08-349;-8.905431;1.454736;1.525711;438.469;196.8746;140.7187;109.73124;98.73764
03-05-2020_14-37-08-369;-8.966495;1.987106;1.390468;436.4701;198.7786;141.84;113.40569;100.00238
03-05-2020_14-37-08-389;-8.775501;2.500682;2.11628;437.8579;198.6708;142.6103;112.28745;101.0879
03-05-2020_14-37-08-409;-9.225826;2.570012;2.407559;437.3566;199.0756;142.0368;112.39713;99.81649
03-05-2020_14-37-08-429;-9.136171;2.43233;2.313639;437.1422;198.5142;142.5636;112.66447;100.54723
03-05-2020_14-37-08-449;-8.956209;2.373619;2.101937;436.6108;199.1469;144.0178;112.90252;100.47462
