Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
02-05-2020_14-37-05-525;-9.923717;2.933772;8.356395;442.2274;289.1562;212.9187;197.6366;141.5678
02-05-2020_14-37-05-625;-9.832518;0.7742186;7.253875;440.5434;288.4677;212.3906;195.2806;140.5438
02-05-2020_14-37-05-645;-9.983251;-0.03733379;6.517258;438.5781;289.2377;212.718;197.7644;141.088
02-05-2020_14-37-05-665;-10.015386;0.6483891;6.182946;441.9057;287.5365;215.0528;197.1843;141.6967
02-05-2020_14-37-05-685;-10.114731;1.071568;6.693059;441.7956;286.5949;212.0942;195.032;139.8313
02-05-2020_14-37-05-705;-10.340813;1.426654;8.329352;440.7764;286.242;213.3856;195.3497;140.5978
02-05-2020_14-37-05-725;-9.667973;1.5121;7.161742;438.9032;286.7576;212.5652;196.1924;139.1548
02-05-2020_14-37-05-745;-9.813083;1.148274;6.508628;441.3608;287.5121;214.852;196.4954;141.6414
02-05-2020_14-37-05-765;-10.085985;1.182606;7.480184;442.3523;289.0062;213.2272;196.3609;142.1371
02-05-2020_14-37-05-785;-9.944109;1.798832;6.740862;441.4003;287.4264;215.3439;196.677;140.4426
02-05-2020_14-37-05-805;-10.224706;2.215316;7.662771;440.5085;287.5567;213.2223;196.4644;141.3975
02-05-2020_14-37-05-825;-9.581162;1.861851;7.275053;441.5756;288.4634;214.4713;196.7949;142.2769
02-05-2020_14-37-05-845;-10.014124;2.467378;7.657085;442.0081;288.6223;213.994;196.1679;140.2417
02-05-2020_14-37-05-865;-10.196616;2.558436;8.442733;441.4581;287.2818;213.1465;196.0059;142.0345
02-05-2020_14-37-05-885;-9.673946;2.905908;8.621277;441.9539;289.0033;213.3986;196.3468;140.1635
02-05-2020_14-37-05-905;-9.818923;2.239606;7.958425;439.6258;288.086;213.7904;197.4651;141.559
02-05-2020_14-37-05-925;-9.995204;1.8459;6.990762;440.7622;287.7945;213.9273;196.4703;142.8541
02-05-2020_14-37-05-945;-9.846373;2.403262;7.748559;441.7628;285.562;213.9563;196.049;141.1817
