Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
01-05-2020_08-37-05-365;-11.854548;15.764347;14.389408;443.2877;287.8203;256.2494;235.191;174.2102
01-05-2020_08-37-05-465;-11.814355;17.92331;15.970564;444.8036;286.9428;255.4564;234.6271;173.0156
01-05-2020_08-37-05-485;-11.479453;18.68476;16.50974;446.3484;285.8231;255.5608;233.4165;172.1346
01-05-2020_08-37-05-505;-11.701171;18.72087;15.596698;445.5586;287.2869;257.5468;235.4591;173.1175
01-05-2020_08-37-05-525;-11.816074;18.06386;15.313249;443.3385;288.759;258.938;235.9627;173.647
01-05-2020_08-37-05-545;-11.866474;17.74264;16.55848;444.7802;288.2189;254.91;234.6378;173.1905
01-05-2020_08-37-05-565;-11.81929;17.46209;14.400175;441.5258;286.376;256.4272;234.8195;171.8713
01-05-2020_08-37-05-585;-11.421297;16.83326;14.322828;443.2873;287.5751;256.8466;234.3773;171.3445
01-05-2020_08-37-05-605;-11.57421;15.754251;14.137505;444.0644;287.2188;255.2337;232.5454;171.9005
01-05-2020_08-37-05-625;-11.730754;15.578926;14.008813;443.9056;286.7183;256.1325;234.8625;173.3673
01-05-2020_08-37-05-645;-11.345172;15.557632;13.818045;443.8961;287.1612;256.6438;235.2224;172.2095
01-05-2020_08-37-05-665;-11.900205;15.147257;14.219561;442.0876;288.1326;257.612;234.2915;172.0438
01-05-2020_08-37-05-685;-11.332209;14.543256;12.053904;440.3477;286.666;259.9269;235.8002;172.3013
01-05-2020_08-37-05-705;-11.682616;13.992023;11.586353;439.5442;287.746;260.6239;236.286;172.517
01-05-2020_08-37-05-725;-11.3376;14.269087;11.786047;440.7091;288.818;260.7212;236.041;173.1567
01-05-2020_08-37-05-745;-11.755641;15.051602;12.334378;440.9856;288.4133;258.6917;235.1022;172.4739
01-05-2020_08-37-05-765;-11.362505;15.756052;11.744561;441.4786;288.4355;261.932;237.1521;172.1686
01-05-2020_08-37-05-785;-11.819151;15.424173;13.162583;443.1756;289.7261;259.1196;235.7757;172.5456
01-05-2020_08-37-05-805;-11.43549;15.994223;12.839752;442.1976;288.0813;259.7731;237.3826;172.8342
01-05-2020_08-37-05-825;-11.528321;17.10988;14.308269;443.9616;288.2894;260.7217;235.7561;173.0216
01-05-2020_08-37-05-845;-11.356028;18.42536;14.863331;443.53;286.6307;259.7558;235.8021;172.7766
01-05-2020_08-37-05-865;-11.57518;18.66629;15.184183;444.1763;287.2188;260.5828;237.0002;173.3406
01-05-2020_08-37-05-885;-11.679428;17.74689;14.74732;444.0703;290.5282;262.5245;237.4325;174.0916
01-05-2020_08-37-05-905;-11.71651;17.29594;14.476874;444.3652;290.0597;261.4618;236.6346;173.6199
01-05-2020_08-37-05-925;-11.6857;17.95628;15.009822;444.3478;289.9245;260.2771;236.4925;173.5953
01-05-2020_08-37-05-945;-11.738889;17.6651;15.020504;445.1297;290.1992;259.9671;236.9013;175.6033
01-05-2020_08-37-05-965;-11.681636;17.20939;14.356187;444.4047;292.4211;265.3058;240.0889;176.3732
01-05-2020_08-37-05-985;-11.62856;16.25021;14.032831;442.369;291.6163;261.6325;236.8981;174.3844
01-05-2020_08-37-06-005;-11.478939;15.756316;14.86773;442.7673;293.4696;260.9135;239.3846;175.2851
01-05-2020_08-37-06-025;-12.198712;16.00974;15.201819;444.4107;290.3576;259.9768;237.248;174.9947
01-05-2020_08-37-06-045;-11.776751;15.683249;14.124358;443.8863;291.8003;262.89;240.8148;177.0081
01-05-2020_08-37-06-065;-11.402367;15.145448;13.11706;440.6398;290.1735;263.8857;238.1671;175.1389
01-05-2020_08-37-06-085;-11.289097;14.846362;12.024783;437.5623;291.0127;264.6306;239.6529;175.2562
01-05-2020_08-37-06-105;-11.378921;15.281533;12.91318;439.322;291.8446;263.4841;239.3914;175.063
01-05-2020_08-37-06-125;-11.761713;15.626534;13.265311;443.5474;290.5529;261.811;238.2362;174.7208
01-05-2020_08-37-06-145;-11.589716;16.12059;12.820773;440.2832;291.7616;264.9637;240.4758;175.4614
01-05-2020_08-37-06-165;-11.892092;16.06258;13.36525;440.2357;290.7376;262.5976;238.9519;176.5651
01-05-2020_08-37-06-185;-11.53195;16.77002;14.203569;444.0838;290.8718;262.7198;237.6634;175.9433
01-05-2020_08-37-06-205;-11.753659;17.61216;15.610067;445.7054;291.9779;261.9561;238.7201;175.7782
01-05-2020_08-37-06-225;-11.501375;18.13007;14.972822;445.4483;291.4323;263.3787;240.1098;175.5136
01-05-2020_08-37-06-245;-11.581396;17.99658;15.100382;442.9094;292.8423;263.811;239.9124;175.0194
01-05-2020_08-37-06-265;-11.598776;18.04234;15.353699;442.3277;290.6931;259.8417;238.8756;174.5418
01-05-2020_08-37-06-285;-11.817714;18.18478;15.730289;445.8665;290.3237;260.0686;238.5824;174.9886
01-05-2020_08-37-06-305;-11.828268;18.4339;15.675616;446.9029;292.4957;261.6895;238.5812;175.2969
01-05-2020_08-37-06-325;-11.754489;18.26737;16.4939;445.7783;290.7029;259.9925;237.1307;176.0679
01-05-2020_08-37-06-345;-12.11249;18.01239;15.642334;443.042;293.1186;262.208;239.6236;175.6974
01-05-2020_08-37-06-365;-12.208991;16.67397;16.01435;444.3113;292.9274;259.5354;236.9862;175.6999
01-05-2020_08-37-06-385;-11.341971;17.17512;13.596274;443.9438;290.043;263.8663;238.6508;174.4057
01-05-2020_08-37-06-405;-11.720911;16.55444;14.608521;444.6383;290.6066;261.4694;238.1808;174.1755
01-05-2020_08-37-06-425;-11.613717;15.603714;13.948243;443.8624;291.5435;262.0382;238.0633;175.4687
01-05-2020_08-37-06-445;-11.828696;14.48849;11.904785;440.4603;290.7827;262.8663;237.8128;173.2292
01-05-2020_08-37-06-465;-11.891965;13.891325;11.820841;438.7152;291.955;262.0233;238.7777;174.561
01-05-2020_08-37-06-485;-11.780747;14.097385;11.969418;438.3991;290.3493;261.7588;238.9984;174.4889
01-05-2020_08-37-06-505;-11.31611;14.954045;11.681153;439.5136;291.088;262.954;239.2797;174.7764
01-05-2020_08-37-06-525;-12.040305;14.788581;14.01418;442.9353;289.8987;260.5097;236.853;175.242
01-05-2020_08-37-06-545;-11.402259;14.711024;13.283135;442.5506;290.1454;260.9085;238.0732;176.5514
01-05-2020_08-37-06-565;-11.789428;15.89047;13.466972;442.3326;291.1582;261.1415;238.5546;174.6178
01-05-2020_08-37-06-585;-11.761785;16.3731;13.852723;442.753;289.0824;260.4905;236.5503;173.1446
01-05-2020_08-37-06-605;-12.030313;16.84428;15.348808;442.9451;290.2758;259.045;236.8956;175.0954
01-05-2020_08-37-06-625;-11.679345;17.24832;14.24458;443.4634;291.5485;261.9071;239.2051;175.056
